928 97396 
787805 
580977 
580046 
31185 
497646 
629393 
600604 
671644 
417202 
635132 
836011 
925155 
423309 
337935 
680088 
478980 
242828 
311418 
62464 
206193 
865568 
226365 
964051 
544018 
513562 
691538 
94420 
298194 
217641 
480093 
42052 
880485 
759127 
545262 
153579 
432005 
943005 
561836 
270164 
756830 
615868 
558336 
860188 
176822 
648952 
82245 
848086 
168101 
272356 
168665 
783360 
791504 
277615 
679571 
496259 
512430 
311982 
30732 
656792 
113003 
174450 
137146 
809426 
464841 
904895 
610673 
87631 
507363 
950585 
709816 
831869 
610700 
64383 
69064 
114623 
6667 
474845 
449640 
559661 
19852 
604541 
779171 
967975 
284298 
611513 
263016 
371413 
794391 
86206 
982994 
925859 
154036 
209132 
295983 
346266 
610261 
660039 
649155 
913396 
815824 
155031 
102705 
325615 
219359 
533374 
311069 
635794 
827348 
322987 
590504 
619968 
657958 
571897 
798901 
602538 
402723 
92564 
619721 
447923 
677316 
903839 
634478 
788746 
100784 
266027 
857680 
592807 
893822 
287627 
160558 
924524 
643400 
194117 
312152 
915703 
884776 
841052 
263198 
926969 
527508 
858980 
689561 
308712 
250531 
454364 
841486 
442370 
47875 
338962 
921369 
441117 
593460 
259914 
852258 
890105 
755958 
373916 
193818 
217834 
532667 
377221 
869151 
368383 
116772 
114598 
989443 
831538 
944568 
436315 
154948 
945765 
804529 
684383 
334633 
131145 
950598 
880697 
419282 
794982 
137176 
37249 
396281 
359316 
809678 
344344 
720066 
531698 
934967 
637906 
738804 
187616 
472293 
105602 
266706 
815429 
945085 
658621 
658734 
864450 
233522 
895974 
8834 
334712 
766771 
359107 
335223 
592468 
854244 
969007 
633149 
119787 
932324 
447735 
542562 
212683 
678612 
865986 
911067 
393080 
421264 
13367 
123613 
829657 
993254 
502982 
439286 
723981 
809703 
661888 
563355 
439837 
316582 
469638 
833756 
145649 
388559 
525003 
834900 
550258 
852208 
27580 
512272 
407366 
542944 
942831 
320429 
598478 
504080 
709779 
399483 
827717 
902863 
968575 
397588 
914194 
835112 
980221 
263480 
550017 
357455 
824074 
350317 
105882 
75166 
468599 
533641 
265312 
779951 
696685 
48318 
99683 
319455 
3894 
451054 
161681 
32756 
690205 
795848 
289630 
333517 
427926 
257924 
560937 
945195 
188695 
881400 
554186 
76084 
590479 
802809 
505554 
767983 
671119 
31905 
121055 
340961 
294475 
775650 
620644 
947731 
688799 
783747 
950157 
316880 
808566 
353182 
147386 
570616 
994373 
191549 
43151 
35069 
355534 
757658 
912162 
106239 
692249 
641288 
219700 
509086 
635580 
623273 
656860 
35725 
830222 
200547 
545278 
541133 
626570 
810372 
934105 
497963 
536012 
285228 
97430 
504376 
351320 
283483 
543566 
946699 
19643 
795474 
195873 
138801 
314270 
465586 
71443 
455399 
488661 
306518 
988418 
72471 
859162 
154867 
688505 
107688 
897518 
429408 
902565 
536621 
116814 
122684 
974609 
279417 
103890 
190021 
249545 
596468 
344475 
551978 
465144 
409520 
532577 
358077 
317351 
442769 
892495 
444340 
648442 
468085 
370474 
437632 
233423 
180888 
808774 
491691 
130048 
909385 
160172 
874095 
360819 
685891 
348976 
826762 
151063 
81034 
480461 
842873 
95872 
656969 
320140 
774827 
313603 
539914 
413207 
972172 
834396 
484400 
378438 
306769 
124213 
252681 
778767 
894104 
526127 
652986 
664735 
447540 
426151 
281212 
240423 
393254 
235459 
341025 
904296 
931631 
463587 
559024 
61264 
759183 
21228 
881665 
467163 
764297 
106225 
192274 
138482 
540866 
53390 
871618 
327671 
564956 
908080 
945451 
45591 
213341 
672658 
373630 
708861 
62110 
277763 
689751 
827815 
365924 
384445 
184915 
976446 
318083 
568886 
251724 
977260 
592836 
390892 
443808 
23351 
189765 
668472 
291308 
468195 
586824 
642732 
227435 
137186 
951624 
335796 
497715 
919479 
528198 
401812 
790352 
403747 
599246 
558018 
853354 
294787 
242382 
146761 
993310 
469837 
31177 
139646 
867796 
250329 
468473 
534070 
716007 
41128 
18828 
140204 
44111 
878557 
743954 
253720 
544642 
878919 
290544 
994293 
301906 
666790 
904466 
146146 
757233 
231864 
361500 
533967 
878902 
108787 
237583 
157325 
42326 
332518 
597505 
206159 
814802 
909526 
982843 
673926 
918406 
860422 
558069 
615441 
918073 
726441 
235416 
823286 
643267 
416504 
374424 
625902 
327271 
136729 
883563 
168173 
735853 
45788 
449743 
213450 
660115 
535270 
835003 
799037 
873754 
299218 
594950 
316480 
676676 
682411 
673890 
8928 
678301 
182241 
973822 
867941 
181658 
539577 
248788 
747763 
966461 
792009 
315922 
572466 
851443 
772679 
405348 
68204 
559128 
444692 
318089 
218160 
411718 
713220 
426441 
159492 
197997 
753312 
663193 
61027 
890155 
229568 
996518 
996868 
508158 
522820 
577977 
588295 
187842 
980926 
409354 
743076 
259500 
302021 
431833 
448837 
114130 
841866 
852546 
975065 
735244 
151218 
774430 
56301 
695728 
450973 
277795 
639386 
161538 
296235 
802511 
986920 
386797 
322638 
996543 
346965 
735475 
104642 
530590 
189981 
231616 
540154 
49369 
656922 
462958 
40111 
409075 
266739 
736596 
406769 
985983 
311661 
211453 
522456 
546778 
569643 
518235 
854126 
306661 
5850 
333103 
713658 
919002 
698025 
578268 
250358 
68584 
840247 
15357 
692846 
631069 
346546 
562028 
827091 
979274 
654735 
615443 
790615 
376685 
592763 
682753 
560134 
485620 
433515 
919581 
879553 
587088 
68355 
69745 
669475 
24285 
206304 
804963 
327035 
896841 
586753 
329411 
57037 
55169 
461960 
537825 
363684 
115105 
141140 
310534 
35669 
545805 
969780 
335912 
629163 
623540 
377667 
496602 
376260 
319872 
113172 
390050 
992051 
343109 
237318 
556740 
707554 
424178 
905731 
767696 
314443 
740758 
547658 
424454 
987869 
853814 
755753 
39906 
486369 
292504 
275199 
196907 
179093 
482712 
523484 
810216 
462296 
802300 
715163 
483690 
952393 
980649 
951186 
44992 
99335 
178528 
46192 
231506 
711503 
596196 
994469 
584171 
103728 
233651 
168092 
13582 
164304 
676920 
142608 
165837 
689058 
551513 
410360 
573093 
349029 
478841 
68649 
46436 
344268 
623566 
483630 
776395 
409094 
70826 
486362 
411856 
668539 
437944 
198819 
602556 
407875 
954615 
769451 
20138 
800535 
898636 
309665 
508018 
52204 
772712 
874625 
683040 
194281 
911534 
245694 
418487 
706032 
783808 
130832 
421098 
319255 
728644 
750264 
294744 
398443 
310542 
176405 
257031 
155038 
313487 
737974 
979621 
533677 
665595 
529588 
728332 
312053 
855110 
799123 
649998 
986890 
222664 
80104 
471830 
196017 
296542 
84299 
573433 
104390 
481307 
211088 
567101 
497074 
521405 
374880 
783003 
675411 
459540 
744707 
302427 
938862 
296045 
494590 
193134 
713382 
929940 
712905 
526379 
227298 
899533 
579552 
899659 
900521 
256943 
261616 
255423 
563317 
29244 
4575 
763700 
43664 
618042 
624067 
823524 
584155 
120756 
796097 
993436 
807460 
341452 
943830 
226541 
283475 
383916 
178637 
266093 
364623 
505304 
46837 
511847 
232221 
333844 
206295 
291782 
742711 
896061 
962169 
912006 
49118 
305294 
732514 
3632 
508892 
861275 
173687 
527170 
210625 
791709 
891096 
365884 
531650 
89660 
460283 
718721 
566142 
223752 
838271 
949251 
939194 
145262 
413855 
610550 
75146 
426221 
295837 
101316 
204835 
635253 
991205 
512062 
192763 
64700 
159968 
493761 
186587 
55884 
258086 
310219 
264998 
144757 
573389 
20838 
641118 
230816 
539490 
725036 
842763 
742143 
747490 
710640 
144892 
34064 
802562 
267769 
827738 
826969 
269351 
464552 
351083 
74489 
38359 
796164 
387805 
568477 
585405 
911141 
391525 
287963 
963490 
879214 
595749 
975191 
167135 
74117 
112310 
30539 
710636 
951394 
790441 
680411 
130465 
363936 
371035 
90108 
572389 
973977 
694769 
691741 
842845 
163418 
593061 
199924 
105730 
472133 
352510 
608098 
453560 
395533 
173907 
996364 
912724 
377480 
859534 
343512 
501384 
79852 
175910 
966427 
194255 
436696 
89611 
794792 
727283 
495299 
414497 
605445 
644672 
537447 
423130 
95320 
783589 
513870 
754108 
435540 
345667 
708709 
771232 
897366 
342939 
497971 
742771 
197051 
422726 
497716 
612012 
449736 
732444 
477441 
812733 
963244 
889642 
724552 
512129 
707402 
362056 
924423 
965663 
365169 
139327 
666248 
764650 
336679 
195990 
135540 
683095 
673748 
446436 
393123 
152901 
285619 
575255 
313300 
329569 
675982 
468100 
720824 
464784 
832174 
690867 
772665 
575151 
413530 
825499 
64175 
295450 
361159 
318836 
110600 
2090 
158927 
842745 
528528 
345564 
121717 
715613 
170775 
278822 
695248 
720106 
502620 
605306 
892800 
237275 
229021 
730141 
403318 
448867 
93060 
63011 
995770 
369260 
843883 
406708 
137913 
983842 
242114 
686034 
480883 
104135 
503567 
52502 
761332 
200582 
523687 
77562 
738179 
218639 
119276 
219876 
388237 
63941 
43289 
58169 
63440 
207062 
931912 
226205 
110166 
241462 
853106 
373780 
53624 
372691 
782570 
626006 
874660 
652790 
314446 
325575 
948168 
879112 
901811 
122577 
105144 
885804 
805305 
552203 
532019 
336651 
355989 
885558 
187377 
983170 
206141 
841784 
916312 
221653 
807890 
586318 
586028 
736982 
992492 
741877 
573143 
254321 
57997 
835410 
273710 
462871 
737696 
362027 
703467 
850801 
253751 
346728 
484692 
166390 
831913 
775304 
79559 
449770 
740987 
685174 
322923 
789050 
769312 
947732 
553339 
680620 
176594 
445515 
479929 
126930 
506215 
150390 
116297 
58770 
945672 
447651 
737308 
676185 
792744 
470013 
614017 
957424 
904879 
619831 
814145 
618917 
791083 
259371 
648514 
761052 
666667 
437296 
432570 
198725 
64157 
72782 
966824 
85938 
567138 
341126 
672261 
822572 
957429 
221940 
445454 
66727 
58329 
133987 
748781 
858518 
928892 
799075 
316358 
162834 
650284 
761305 
266569 
32630 
451276 
590875 
901854 
678379 
609966 
264809 
883006 
158816 
141875 
320863 
349777 
803476 
502809 
268131 
113834 
536276 
939798 
549366 
856237 
193477 
458233 
294698 
635083 
903419 
573662 
505168 
607438 
475643 
174816 
61925 
215497 
327444 
979011 
687392 
155330 
998628 
374315 
4070 
884553 
569843 
93183 
558820 
924406 
632831 
666240 
27857 
307877 
717749 
165258 
377722 
486924 
258690 
965220 
421895 
94377 
843567 
316786 
600303 
28037 
780071 
842543 
233531 
84237 
769830 
201338 
940611 
208888 
712190 
370563 
684740 
633671 
119747 
960832 
791056 
496882 
284885 
498119 
652973 
522928 
338294 
127358 
620104 
864238 
470458 
463265 
72288 
232446 
628287 
91559 
637681 
261524 
3208 
960884 
311501 
802864 
328659 
987886 
424102 
501570 
86056 
269335 
166524 
488564 
152006 
822747 
225776 
919 
145607 
470558 
323613 
137979 
971728 
156255 
682939 
976366 
717412 
149892 
63323 
995499 
202635 
367740 
395489 
478214 
119230 
667454 
608682 
694515 
58689 
731540 
283564 
88570 
745452 
462587 
439890 
142572 
443634 
126117 
63115 
920855 
380388 
92832 
964298 
101091 
31494 
32512 
137793 
847117 
834780 
279590 
52525 
206790 
848189 
921085 
870743 
992392 
536239 
667647 
671704 
193227 
955677 
315159 
513845 
527312 
125662 
413617 
676165 
406478 
201629 
841102 
461950 
538420 
151485 
470521 
963327 
717328 
244289 
73422 
518242 
487143 
892994 
675082 
486320 
867417 
198443 
700737 
703782 
717665 
619051 
6221 
140289 
786202 
886111 
236331 
664411 
738165 
874148 
686803 
874170 
487727 
160348 
558663 
477750 
410509 
65805 
719611 
425874 
531446 
117075 
266546 
673622 
266563 
865243 
598706 
639276 
49292 
997525 
102294 
804332 
802366 
503691 
650017 
420427 
702139 
944794 
915220 
182949 
994286 
756215 
65945 
327874 
731890 
808359 
762239 
209590 
642239 
923381 
717704 
414587 
836831 
977302 
976685 
738486 
764996 
726383 
476562 
56218 
156073 
856165 
87422 
880299 
406013 
494834 
585355 
189150 
859708 
769254 
357555 
698584 
490339 
966071 
839981 
589694 
434325 
104993 
28945 
478330 
127271 
740411 
882266 
163941 
387694 
872778 
407619 
538295 
187083 
46774 
794763 
217520 
76399 
539940 
279046 
144390 
157646 
316723 
817615 
33438 
227508 
374094 
187600 
403389 
209042 
682361 
900612 
563738 
759136 
174786 
463421 
609546 
893528 
835094 
134112 
158216 
982469 
582211 
132936 
951142 
314845 
925425 
443884 
856690 
996858 
319789 
415866 
380145 
875966 
513561 
832747 
246618 
668944 
141673 
532338 
154079 
502307 
184383 
747576 
15306 
946810 
914441 
891313 
302198 
830781 
66773 
470295 
115944 
385365 
615116 
583686 
91596 
73851 
828619 
172254 
575800 
310181 
950279 
272554 
330344 
769138 
360578 
419135 
202415 
712822 
107068 
252598 
680881 
946613 
882109 
405088 
25266 
325523 
903882 
920116 
88779 
723862 
143985 
465295 
467209 
612606 
986863 
536680 
637546 
937850 
522918 
547539 
261289 
254753 
782816 
691073 
839572 
927659 
102880 
458492 
775509 
531350 
936044 
259126 
183531 
192187 
65779 
665281 
591150 
794103 
642808 
777935 
687521 
845124 
318775 
539948 
463975 
347570 
154679 
797087 
480931 
175996 
225171 
646629 
33486 
868944 
18857 
104214 
700256 
982339 
990748 
106661 
382324 
535815 
241965 
137129 
17295 
819037 
985877 
416189 
714053 
413814 
59109 
363104 
797796 
788661 
260813 
214695 
37597 
292342 
534303 
97315 
559909 
242459 
881159 
739944 
554608 
217747 
837008 
927586 
715319 
127382 
267573 
578709 
650994 
729165 
874805 
172675 
195642 
302588 
916767 
477450 
673282 
928296 
728808 
331682 
75595 
161960 
640891 
619128 
779147 
594369 
24665 
60696 
336983 
318728 
956932 
728607 
149907 
191471 
975903 
123334 
89408 
638427 
563823 
971578 
377745 
645483 
314861 
747635 
520155 
316348 
143553 
848962 
559574 
2021 
279831 
480041 
518506 
531411 
526983 
902040 
568400 
807497 
487698 
533068 
573709 
292694 
930382 
577326 
529596 
179616 
311062 
721202 
25205 
575598 
330930 
645570 
807720 
827345 
184454 
577191 
208163 
637419 
988744 
139548 
76867 
515735 
41759 
80146 
468771 
825970 
656146 
878483 
292180 
117424 
226716 
519242 
689326 
956612 
518480 
682099 
136428 
898628 
843622 
570319 
718797 
46541 
264404 
320377 
746134 
634980 
964148 
437704 
946173 
129403 
953717 
135055 
613353 
498759 
414558 
98232 
924005 
868625 
276654 
158404 
344391 
976083 
409453 
947446 
47907 
403030 
897937 
684283 
366185 
599032 
44759 
614820 
519469 
995544 
875005 
509178 
154614 
503898 
890176 
230660 
422760 
80931 
745678 
45921 
682490 
819378 
823661 
660318 
910055 
860581 
45460 
763161 
892285 
771041 
130555 
101789 
564559 
255593 
137728 
303009 
55487 
492023 
702129 
584051 
269648 
582279 
20668 
98855 
990324 
82167 
518692 
384030 
492140 
318993 
895244 
924097 
759401 
764901 
372012 
669862 
987095 
802967 
405249 
131282 
177306 
91766 
505171 
894521 
324303 
859918 
709601 
62916 
452218 
902580 
23866 
352194 
800598 
15465 
869552 
290873 
960062 
860325 
374915 
76680 
459822 
216418 
53408 
899937 
140595 
84088 
313202 
121398 
347404 
617398 
303919 
349335 
702482 
989079 
860752 
859091 
651941 
612714 
390250 
680023 
748735 
473445 
193042 
866195 
185428 
289494 
484423 
841448 
725674 
879130 
940469 
292466 
444424 
837060 
207607 
284868 
359044 
343184 
48467 
73644 
284703 
620920 
12938 
251930 
568861 
23814 
782742 
777574 
294614 
608233 
168120 
279905 
776736 
874165 
425823 
233164 
110446 
880906 
170038 
269804 
43607 
641367 
367875 
461289 
124880 
687965 
996251 
432722 
831436 
561110 
955658 
174360 
676660 
364316 
423751 
196647 
220310 
576785 
153556 
207617 
446698 
628069 
489113 
331058 
129097 
854301 
57548 
366453 
415640 
707165 
810566 
633610 
105978 
819325 
553448 
408942 
423460 
986575 
645741 
34689 
214776 
352314 
63565 
569891 
642450 
138843 
12428 
144575 
764282 
430581 
91804 
65618 
511534 
850182 
198162 
831841 
284438 
552318 
759347 
890527 
959020 
983380 
833584 
819194 
540819 
559790 
721414 
723815 
976813 
306959 
684508 
226806 
409343 
779174 
789831 
231933 
629370 
193240 
651101 
87171 
45994 
486368 
878564 
515007 
597191 
15126 
695774 
848396 
935828 
193642 
838078 
5361 
367616 
155095 
783 
194817 
856083 
914730 
938609 
465314 
434476 
700481 
205659 
208454 
206614 
806693 
657213 
690419 
96355 
886566 
616533 
475035 
615919 
910366 
800964 
349074 
285140 
393031 
407166 
835996 
288263 
602926 
468916 
435525 
392020 
897848 
775031 
577343 
859755 
990837 
837439 
572697 
789202 
809963 
502781 
541696 
706372 
320273 
350819 
495070 
667259 
483447 
290635 
466900 
729393 
26455 
672683 
284262 
270385 
657339 
333296 
497864 
111749 
77973 
764582 
163549 
295618 
58245 
758239 
156441 
861320 
157797 
545699 
154705 
954427 
164282 
95951 
442598 
572384 
701076 
1054 
7222 
520448 
862895 
201775 
670495 
509464 
373554 
745454 
955579 
884835 
100127 
695004 
791204 
771772 
679501 
684283 
592667 
930641 
386125 
945496 
938796 
353524 
89634 
332145 
679636 
619144 
699259 
429761 
507239 
321661 
151597 
112890 
534770 
561649 
74110 
301322 
777967 
687832 
51541 
492015 
584026 
953354 
637004 
276105 
226333 
254785 
234066 
911534 
272251 
78259 
529742 
176850 
126090 
98936 
161574 
708358 
771762 
759104 
256620 
317661 
877458 
330447 
41743 
357029 
23969 
232841 
414264 
486216 
275583 
752974 
72391 
525032 
579396 
945127 
191944 
503080 
268210 
192386 
19262 
813967 
188206 
394304 
437293 
599952 
742601 
166842 
108968 
376677 
298557 
658246 
242429 
381362 
601954 
126757 
853110 
381626 
850971 
225837 
376595 
286696 
14916 
305520 
229237 
430720 
758457 
568526 
